PWID,urban_rural
NJ0314001,urban
NJ0320002,urban
NJ0301001,rural
NJ0307002,urban
NJ0325001,rural
NJ0326005,urban
NJ0326006,urban
NJ0326007,urban
NJ0326012,rural
NJ0326013,urban
NJ0326014,urban
NJ0329008,urban
NJ0332001,rural
NJ0340002,urban
NJ0429001,urban
NJ0504306,urban
NJ0604001,rural
NJ0607001,urban
NJ0609001,rural
NJ0614002,urban
NJ0805002,urban
NJ0805003,urban
NJ1019002,rural
NJ1106002,rural
NJ1225001,urban
NJ1319003,urban
NJ1326321,urban
NJ1328003,urban
NJ1406002,urban
NJ1413001,urban
NJ1414006,urban
NJ1421305,urban
NJ1435003,rural
NJ1505003,rural
NJ1511004,urban
NJ1511007,rural
NJ1511010,urban
NJ1511011,rural
NJ1511016,urban
NJ1518003,urban
NJ1531001,urban
NJ1615017,rural
NJ1615022,urban
NJ1706001,rural
NJ1710006,rural
NJ1713001,rural
NJ1714001,urban
NJ1714300,urban
NJ1902004,urban
NJ1904006,rural
NJ1904007,rural
NJ1905002,rural
NJ1920001,urban
NJ1922027,urban
NJ1924003,rural
NJ2116004,rural
NJ2123002,rural
NJ0612001,rural
NJ0242001,urban
NJ0247001,urban
NJ0248001,urban
NJ0251001,urban
NJ0257001,urban
NJ0258001,urban
NJ0264001,urban
NJ0265001,urban
NJ0303001,urban
NJ0305001,urban
NJ0306001,urban
NJ0311001,urban
NJ0311002,urban
NJ0313001,urban
NJ0315001,urban
NJ0318002,urban
NJ0319001,urban
NJ0221001,urban
NJ0228001,urban
NJ0231001,urban
NJ0232001,urban
NJ0233001,urban
NJ0233005,urban
NJ0238001,urban
NJ0239001,urban
NJ0811002,rural
NJ0812001,urban
NJ0813001,urban
NJ0814001,urban
NJ0815001,urban
NJ0816001,rural
NJ0817001,urban
NJ0818004,urban
NJ0819001,urban
NJ0820001,urban
NJ0821001,urban
NJ0822001,urban
NJ0823001,urban
NJ0824001,rural
NJ0901001,urban
NJ0902001,urban
NJ0904001,urban
NJ0905001,urban
NJ0906001,urban
NJ0907001,urban
NJ1001301,rural
NJ1004001,rural
NJ1005001,urban
NJ1006302,rural
NJ1007001,rural
NJ1007002,rural
NJ1009001,urban
NJ1011001,urban
NJ1012001,urban
NJ1013001,urban
NJ1014001,urban
NJ1015003,rural
NJ1015004,rural
NJ1017001,urban
NJ1019001,rural
NJ1019003,urban
NJ1019301,rural
NJ1019311,rural
NJ1020001,urban
NJ1021363,urban
NJ0802001,urban
NJ0803001,urban
NJ0804001,urban
NJ0804308,rural
NJ0805001,urban
NJ0805433,rural
NJ0806001,urban
NJ0807001,urban
NJ0808001,urban
NJ0809001,rural
NJ0809002,urban
NJ0810004,rural
NJ0810005,urban
NJ0329005,urban
NJ0329006,rural
NJ0332002,rural
NJ0333001,urban
NJ0333002,urban
NJ0333003,urban
NJ0333004,urban
NJ0335001,urban
NJ0338001,urban
NJ0339001,rural
NJ0340001,urban
NJ0404001,urban
NJ0405001,urban
NJ0407001,urban
NJ0408001,urban
NJ0410001,urban
NJ0410002,urban
NJ0411001,urban
NJ0412001,urban
NJ0414001,urban
NJ0415002,urban
NJ0416001,urban
NJ0424001,urban
NJ0428002,urban
NJ0435003,urban
NJ0435324,urban
NJ0436001,rural
NJ0436007,rural
NJ0436008,rural
NJ0501001,urban
NJ0502001,urban
NJ0503001,urban
NJ0505002,urban
NJ0505003,rural
NJ0506001,rural
NJ0506004,urban
NJ0506007,urban
NJ0506008,rural
NJ0320001,urban
NJ0322001,urban
NJ0323001,urban
NJ0324001,urban
NJ0326001,urban
NJ0326003,urban
NJ0326004,urban
NJ0326008,urban
NJ0326009,urban
NJ0327001,urban
NJ0328001,urban
NJ0329001,rural
NJ0329002,urban
NJ0329003,urban
NJ0329004,urban
NJ0102001,urban
NJ0103001,urban
NJ0104003,urban
NJ0105001,rural
NJ0105002,rural
NJ0107001,urban
NJ0108002,urban
NJ0108003,urban
NJ0108004,urban
NJ0108005,urban
NJ0108006,urban
NJ0108009,rural
NJ0108013,urban
NJ0108014,urban
NJ0108019,urban
NJ0108023,rural
NJ0108303,urban
NJ0111004,urban
NJ0111006,urban
NJ0111007,rural
NJ0112001,urban
NJ0112002,urban
NJ0113001,urban
NJ0115001,urban
NJ0116001,urban
NJ0117001,urban
NJ0119001,urban
NJ0119002,urban
NJ0122001,urban
NJ0123001,urban
NJ0123002,urban
NJ0201001,urban
NJ0211001,urban
NJ0217001,urban
NJ0220001,urban
NJ0514001,urban
NJ0516001,rural
NJ0516003,rural
NJ0601001,urban
NJ0605001,rural
NJ0605002,urban
NJ0605004,rural
NJ0610001,rural
NJ0610002,rural
NJ0613004,urban
NJ0614003,urban
NJ0614004,urban
NJ0614005,urban
NJ0701001,urban
NJ0702001,urban
NJ0703001,urban
NJ0704001,urban
NJ0705001,urban
NJ0706001,urban
NJ0707001,urban
NJ0708001,urban
NJ0710001,urban
NJ0712001,urban
NJ0713001,urban
NJ0714001,urban
NJ0715001,urban
NJ0715002,urban
NJ0716001,urban
NJ0717001,urban
NJ0718001,urban
NJ0719001,urban
NJ0720001,urban
NJ0721001,urban
NJ0801001,urban
NJ0506009,rural
NJ0506010,urban
NJ0506012,urban
NJ0506013,urban
NJ0506015,urban
NJ0506321,rural
NJ0508001,urban
NJ0509001,rural
NJ0510001,urban
NJ0511001,rural
NJ0511003,urban
NJ0512001,urban
NJ1419001,rural
NJ1420001,urban
NJ1421003,urban
NJ1422001,urban
NJ1424001,urban
NJ1425001,urban
NJ1426002,urban
NJ1426004,urban
NJ1426005,urban
NJ1427001,urban
NJ1427002,urban
NJ1427003,urban
NJ1427005,urban
NJ1427006,urban
NJ1427007,urban
NJ1427008,urban
NJ1427009,urban
NJ1427010,urban
NJ1427012,urban
NJ1427014,urban
NJ1427015,urban
NJ1427016,urban
NJ1427017,rural
NJ1427018,rural
NJ1428001,urban
NJ1429001,urban
NJ1431001,urban
NJ1431002,urban
NJ1432003,urban
NJ1433001,urban
NJ1434001,urban
NJ1435001,urban
NJ1435002,urban
NJ1436002,urban
NJ1436003,urban
NJ1436004,urban
NJ1436006,urban
NJ1438001,rural
NJ1438003,rural
NJ1438004,urban
NJ1438006,rural
NJ1439001,urban
NJ1501001,urban
NJ1503001,urban
NJ1504001,urban
NJ1505002,urban
NJ1505004,urban
NJ1506001,urban
NJ1507005,urban
NJ1507007,urban
NJ1507008,urban
NJ1508001,urban
NJ1509001,rural
NJ1510001,urban
NJ1511001,urban
NJ1511002,urban
NJ1511003,rural
NJ1511005,urban
NJ1511008,urban
NJ1511013,urban
NJ1512001,urban
NJ1513001,urban
NJ1514002,urban
NJ1515001,urban
NJ1516001,urban
NJ1517001,urban
NJ1517002,urban
NJ1517003,rural
NJ1517004,urban
NJ1518001,urban
NJ1518002,urban
NJ1518004,urban
NJ1518005,urban
NJ1518010,rural
NJ1518011,urban
NJ1518345,urban
NJ1520001,urban
NJ1521001,urban
NJ1522001,urban
NJ1523001,rural
NJ1523002,urban
NJ1523003,urban
NJ1523004,urban
NJ1524001,urban
NJ1525001,urban
NJ1527001,urban
NJ1528001,urban
NJ1530003,urban
NJ1530004,urban
NJ1530005,urban
NJ1530007,urban
NJ1532002,urban
NJ1533001,urban
NJ1533002,rural
NJ1601001,urban
NJ1603001,urban
NJ1604001,urban
NJ1605001,urban
NJ1605002,urban
NJ1606301,urban
NJ1609001,urban
NJ1611002,urban
NJ1612001,urban
NJ1612301,urban
NJ1023001,rural
NJ1024001,rural
NJ1025001,rural
NJ1025308,rural
NJ1025313,rural
NJ1101002,urban
NJ1103001,urban
NJ1104001,urban
NJ1105001,urban
NJ1106001,rural
NJ1107001,rural
NJ1107002,urban
NJ1108001,urban
NJ1111001,urban
NJ1204001,urban
NJ1205001,urban
NJ1613002,urban
NJ1614001,urban
NJ1615001,urban
NJ1615002,urban
NJ1615003,urban
NJ1615006,urban
NJ1615008,urban
NJ1615012,urban
NJ1615014,urban
NJ1615016,urban
NJ1615018,rural
NJ1615020,urban
NJ1615340,rural
NJ1206001,urban
NJ1207001,urban
NJ1208001,urban
NJ1209002,urban
NJ1212001,urban
NJ1213002,urban
NJ1213321,urban
NJ1214001,urban
NJ1215001,urban
NJ1216001,urban
NJ1219001,urban
NJ1221004,urban
NJ1616001,urban
NJ1702001,urban
NJ1704001,rural
NJ1707001,urban
NJ1708001,rural
NJ1710001,rural
NJ1710002,rural
NJ1710003,rural
NJ1710007,rural
NJ1710304,urban
NJ1712001,urban
NJ1714003,rural
NJ1223001,urban
NJ1224001,urban
NJ1302001,urban
NJ1304001,urban
NJ1305001,urban
NJ1306001,urban
NJ1308001,urban
NJ1309001,rural
NJ1309002,urban
NJ1309415,rural
NJ1312001,urban
NJ1715001,urban
NJ1803002,urban
NJ1808001,urban
NJ1817001,urban
NJ1901001,rural
NJ1902003,rural
NJ1902005,urban
NJ1902007,urban
NJ1902008,urban
NJ1902009,urban
NJ1902346,rural
NJ1903001,rural
NJ1904001,urban
NJ1904002,urban
NJ1314001,urban
NJ1315001,urban
NJ1316001,urban
NJ1319007,urban
NJ1319008,urban
NJ1319009,urban
NJ1319010,rural
NJ1321001,urban
NJ1322001,urban
NJ1326001,urban
NJ1326002,urban
NJ1326005,rural
NJ1326007,rural
NJ1327001,urban
NJ1328002,urban
NJ1904003,rural
NJ1904004,rural
NJ1904009,urban
NJ1905004,rural
NJ1906001,urban
NJ1906002,urban
NJ1907001,rural
NJ1907002,rural
NJ1908001,rural
NJ1909001,urban
NJ1910002,urban
NJ1910003,urban
NJ1911001,urban
NJ1911002,urban
NJ1329001,urban
NJ1330002,urban
NJ1330003,urban
NJ1330004,urban
NJ1331001,urban
NJ1332314,rural
NJ1339001,urban
NJ1340001,urban
NJ1911003,rural
NJ1911004,rural
NJ1911005,urban
NJ1911006,urban
NJ1912001,urban
NJ1912300,urban
NJ1914002,rural
NJ1915001,urban
NJ1916001,urban
NJ1918003,urban
NJ1918004,urban
NJ1341001,rural
NJ1344001,urban
NJ1345001,urban
NJ1347001,urban
NJ1348001,urban
NJ1349001,urban
NJ1350001,urban
NJ1352003,urban
NJ1401001,urban
NJ1918013,rural
NJ1919001,urban
NJ1921001,rural
NJ1922001,rural
NJ1922004,rural
NJ1922005,urban
NJ1922006,urban
NJ1922008,urban
NJ1922010,rural
NJ1922011,urban
NJ1922012,urban
NJ1922013,urban
NJ1922015,urban
NJ1922017,urban
NJ1922021,urban
NJ1922022,urban
NJ1401002,urban
NJ1403001,urban
NJ1404001,urban
NJ1407001,urban
NJ1408001,urban
NJ1409001,urban
NJ1410001,urban
NJ1411001,urban
NJ1414003,urban
NJ1414008,urban
NJ1414011,urban
NJ1414013,urban
NJ1922026,urban
NJ1924002,rural
NJ1924004,rural
NJ2004001,urban
NJ2004002,urban
NJ2013001,urban
NJ2021001,urban
NJ2101001,urban
NJ2102001,urban
NJ2103001,urban
NJ2103002,urban
NJ2104001,rural
NJ2106304,rural
NJ2108001,urban
NJ2110001,rural
NJ1414014,urban
NJ1414016,rural
NJ1415001,urban
NJ1415002,urban
NJ1416001,urban
NJ1416004,urban
NJ1417001,urban
NJ2110003,rural
NJ2112001,urban
NJ2112002,rural
NJ2113002,rural
NJ2113003,rural
NJ2113301,urban
NJ2116002,rural
NJ2116003,rural
NJ2117002,urban
NJ2117003,urban
NJ2119001,urban
NJ2120001,rural
NJ2120002,rural
NJ2121001,urban
NJ2123003,rural
